title,vote_average,adult,genres,spoken_languages
Pacific Rim,6.878,False,"Action, Science Fiction, Adventure","Cantonese, English, Japanese, Russian"
The Hunger Games: Mockingjay - Part 2,6.9,False,"Action, Adventure, Science Fiction",English
Wreck-It Ralph,7.3,False,"Family, Animation, Comedy, Adventure",English
Donnie Darko,7.8,False,"Fantasy, Drama, Mystery",English
Ted,6.407,False,"Comedy, Fantasy",English
The Great Gatsby,7.379,False,"Drama, Romance",English
Moana,7.6,False,"Adventure, Comedy, Family, Animation",English
The Shape of Water,7.247,False,"Drama, Fantasy, Romance","English, Russian"
Raiders of the Lost Ark,7.924,False,"Adventure, Action","English, Spanish, German, Hebrew, Arabic, Nepali"
Zombieland,7.3,False,"Comedy, Horror",English
Finding Dory,7.042,False,"Adventure, Animation, Comedy, Family",English
Me Before You,7.918,False,"Drama, Romance",English
1917,7.99,False,"War, History, Thriller","English, French, German"
Call Me by Your Name,8.167,False,"Romance, Drama","French, English, Italian"
Silver Linings Playbook,7.13,False,"Drama, Comedy, Romance",English
Shrek 2,7.249,False,"Animation, Family, Comedy, Fantasy, Adventure",English
2012,5.819,False,"Action, Adventure, Science Fiction","Tibetan, German, Russian, French, Mandarin, Latin, Portuguese, Spanish, Italian, Hindi, English"
The Godfather Part II,8.591,False,"Drama, Crime","English, Italian, Latin, Spanish"
American Beauty,8.0,False,Drama,English
Prometheus,6.535,False,"Science Fiction, Adventure, Mystery","Gaelic, English"
The Social Network,7.358,False,Drama,English
Pirates of the Caribbean: Dead Men Tell No Tales,6.648,False,"Adventure, Action, Fantasy",English
Knives Out,7.847,False,"Comedy, Crime, Mystery","Spanish, English"
Good Will Hunting,8.149,False,Drama,English
Fifty Shades of Grey,5.882,False,"Drama, Romance, Thriller",English
The Devil Wears Prada,7.384,False,"Comedy, Drama, Romance","English, French"
Taxi Driver,8.2,False,"Crime, Drama","English, Spanish"
A Star Is Born,7.503,False,"Music, Drama, Romance",English
Fury,7.518,False,"War, Drama, Action","English, German, Spanish"
The Incredible Hulk,6.204,False,"Science Fiction, Action, Adventure","Portuguese, Spanish, English"
Kick-Ass,7.12,False,"Action, Crime",English
"I, Robot",6.939,False,"Action, Science Fiction",English
No Country for Old Men,7.933,False,"Crime, Drama, Thriller","English, Spanish"
Rise of the Planet of the Apes,7.289,False,"Thriller, Action, Drama, Science Fiction",English
Ocean's Eleven,7.43,False,"Thriller, Crime","Italian, English"
The Sixth Sense,7.944,False,"Mystery, Thriller, Drama","Latin, Spanish, English"
Amélie,7.905,False,"Comedy, Romance","French, Russian"
Scarface,8.168,False,"Action, Crime, Drama","English, Spanish"
Prisoners,8.091,False,"Drama, Thriller, Crime",English
American History X,8.352,False,Drama,English
The Conjuring,7.541,False,"Horror, Thriller",English
The Fault in Our Stars,7.598,False,"Romance, Drama",English
The Notebook,7.88,False,"Romance, Drama",English
12 Years a Slave,7.945,False,"Drama, History",English
2001: A Space Odyssey,8.076,False,"Science Fiction, Mystery, Adventure","English, Russian"
In Time,6.953,False,"Action, Thriller, Science Fiction",English
Aladdin,7.645,False,"Animation, Family, Adventure, Fantasy, Romance",English
Green Book,8.242,False,"Drama, Comedy","English, Italian, Russian"
Tangled,7.599,False,"Animation, Family",English
Cast Away,7.662,False,"Adventure, Drama","Russian, English"
X-Men,6.996,False,"Adventure, Action, Science Fiction",English
